address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
3523 S Trunk Ave,Dallas,75215,75000,,,,,4299,Vacant Land,,113,48113003700,Dallas,13.87,23.08,32.768486,-96.758208,https://www.redfin.com/TX/Dallas/3523-S-Trunk-Ave-75215/home/35573544
2631 Burger Ave,Dallas,75215,310000,3,2.0,1437,2025,4182,Single Family Residential,,114,48113003700,Dallas,14.08,23.12,32.7637274,-96.7650538,https://www.redfin.com/TX/Dallas/2631-Burger-Ave-75215/home/30802435
2314 Dathe St,Dallas,75215,209500,3,2.0,1388,1930,5619,Single Family Residential,,119,48113003700,Dallas,14.28,23.26,32.7601902,-96.7671824,https://www.redfin.com/TX/Dallas/2314-Dathe-St-75215/home/30802728
3104 Pennsylvania Ave,Dallas,75215,200000,3,2.0,1054,1926,4443,Single Family Residential,,167,48113003700,Dallas,13.64,22.79,32.7708579,-96.7628966,https://www.redfin.com/TX/Dallas/3104-Pennsylvania-Ave-75215/home/30797912
3424 Kimble St,Dallas,75215,150000,3,1.0,1178,1936,4225,Single Family Residential,,170,48113003700,Dallas,14.17,23.11,32.7612491,-96.7697287,https://www.redfin.com/TX/Dallas/3424-Kimble-St-75215/home/30795825
3626 Meyers St,Dallas,75215,172000,3,2.0,1144,1923,5489,Single Family Residential,,196,48113003700,Dallas,13.97,23.13,32.7664488,-96.7601488,https://www.redfin.com/TX/Dallas/3626-Meyers-St-75215/home/30808186
3634 Dunbar St,Dallas,75215,81500,,,,,5489,Vacant Land,,242,48113003700,Dallas,13.96,23.14,32.7668135,-96.759279,https://www.redfin.com/TX/Dallas/3634-Dunbar-St-75215/home/30808017
2815 Burger Ave,Dallas,75215,145000,2,1.0,1008,1925,5489,Single Family Residential,,257,48113003700,Dallas,13.99,23.08,32.7654758,-96.7632833,https://www.redfin.com/TX/Dallas/2815-Burger-Ave-75215/home/30808070
3708 S Malcolm X Blvd,Dallas,75215,94900,,,,,10890,Vacant Land,,278,48113003700,Dallas,14.16,23.27,32.7634559,-96.7609101,https://www.redfin.com/TX/Dallas/3708-Malcolm-X-Blvd-75215/home/30773361
3915 Avant St,Dallas,75215,650000,4,3.0,2200,2026,4844,Single Family Residential,,279,48113003700,Dallas,14.6,23.56,32.7556569,-96.7657301,https://www.redfin.com/TX/Dallas/3915-Avant-St-75215/home/30803219
2826 Metropolitan Ave,Dallas,75215,75000,,,,,5663,Vacant Land,,300,48113003700,Dallas,14.09,23.2,32.7644155,-96.7614648,https://www.redfin.com/TX/Dallas/2826-Metropolitan-Ave-75215/home/30808482
3939 Malcolm X Blvd,Dallas,75215,80000,,,,,11195,Vacant Land,,336,48113003700,Dallas,14.38,23.5,32.7606277,-96.7588485,https://www.redfin.com/TX/Dallas/3939-Malcolm-X-Blvd-75215/home/30802672
3912 Avant St,Dallas,75215,262000,4,2.0,1244,2019,3528,Single Family Residential,,394,48113003700,Dallas,14.58,23.55,32.7560316,-96.7655249,https://www.redfin.com/TX/Dallas/3912-Avant-St-75215/home/30803248
430 E 8th #103,Dallas,75203,449000,2,2.5,1670,2025,18508,Condo/Co-op,270,23,48113004800,Dallas,14.51,22.37,32.7502963,-96.8178889,https://www.redfin.com/TX/Dallas/430-E-8th-St-75203/unit-103/home/195590211
823 Havendon Cir,Dallas,75203,323372,3,2.0,1214,1930,5881,Single Family Residential,,45,48113004800,Dallas,15.4,23.14,32.7372551,-96.8196341,https://www.redfin.com/TX/Dallas/823-Havendon-Cir-75203/home/30829716
845 Betterton Cir,Dallas,75203,475000,,,,,,Vacant Land,,53,48113004800,Dallas,14.68,22.68,32.7481315,-96.8112739,https://www.redfin.com/TX/Dallas/845-Betterton-Cir-75203/home/30826505
352 E Page Ave,Dallas,75203,292500,3,2.0,1240,1945,6229,Single Family Residential,,63,48113004800,Dallas,15.22,23.0,32.7399359,-96.8182227,https://www.redfin.com/TX/Dallas/352-E-Page-Ave-75203/home/30829682
430 E 8th #201,Dallas,75203,499000,2,2.5,1670,2025,18508,Condo/Co-op,270,76,48113004800,Dallas,14.51,22.37,32.7502963,-96.8178889,https://www.redfin.com/TX/Dallas/430-E-8th-St-75203/unit-201/home/195658057
413 E 10th St,Dallas,75203,499000,3,4.0,2720,1951,8930,Single Family Residential,,127,48113004800,Dallas,14.69,22.52,32.7476678,-96.8183311,https://www.redfin.com/TX/Dallas/413-E-10th-St-75203/home/30826426
430 E 8th,Dallas,75203,3099000,2,2.5,11580,2025,18508,Condo/Co-op,,218,48113004800,Dallas,14.51,22.37,32.7502963,-96.8178889,https://www.redfin.com/TX/Dallas/430-E-8th-St-75203/home/30826039
3051 Utah Ave,Dallas,75216,298900,4,2.0,1927,1947,8367,Single Family Residential,,5,48113005600,Dallas,17.46,25.22,32.7078053,-96.8098,https://www.redfin.com/TX/Dallas/3051-Utah-Ave-75216/home/30840922
227 Halsey St,Dallas,75224,218500,4,2.0,1750,1948,7815,Single Family Residential,,16,48113005600,Dallas,17.27,24.71,32.710042,-96.8259353,https://www.redfin.com/TX/Dallas/227-Halsey-St-75224/home/30894319
303 Brodie St,Dallas,75224,259900,3,2.0,1000,1948,6882,Single Family Residential,,20,48113005600,Dallas,17.41,24.82,32.7080735,-96.8266125,https://www.redfin.com/TX/Dallas/303-Brodie-St-75224/home/30894249
2826 Alaska Ave,Dallas,75216,219900,3,2.0,1090,1954,,Single Family Residential,,29,48113005600,Dallas,17.14,24.81,32.7121985,-96.8156199,https://www.redfin.com/TX/Dallas/2826-Alaska-Ave-75216/home/30840200
215 Missouri Ave,Dallas,75224,175000,2,1.0,576,1920,7236,Single Family Residential,,33,48113005600,Dallas,16.74,24.22,32.717791,-96.8254065,https://www.redfin.com/TX/Dallas/215-W-Missouri-Ave-75224/home/30839448
2939 Alaska Ave,Dallas,75216,420000,4,3.0,2300,2026,7405,Single Family Residential,,34,48113005600,Dallas,17.29,24.93,32.7099925,-96.816113,https://www.redfin.com/TX/Dallas/2939-Alaska-Ave-75216/home/30841021
2930 Maryland Ave,Dallas,75216,174999,2,1.0,1022,1947,7710,Single Family Residential,,151,48113005600,Dallas,17.28,24.99,32.7102824,-96.8131406,https://www.redfin.com/TX/Dallas/2930-Maryland-Ave-75216/home/30840791
515 E Brownlee Ave,Dallas,75216,65000,,,,,2265,Vacant Land,,358,48113005600,Dallas,17.19,24.83,32.7114579,-96.8165434,https://www.redfin.com/TX/Dallas/515-E-Brownlee-Ave-75216/home/30840232
1606 Mentor Ave,Dallas,75216,190000,3,2.0,1226,1938,8477,Single Family Residential,,6,48113005700,Dallas,18.64,26.48,32.691278,-96.8007868,https://www.redfin.com/TX/Dallas/1606-Mentor-Ave-75216/home/30843359
4737 Kildare Ave,Dallas,75216,139500,2,1.0,847,1945,7673,Single Family Residential,,7,48113005700,Dallas,18.77,26.7,32.6898496,-96.795197,https://www.redfin.com/TX/Dallas/4737-Kildare-Ave-75216/home/30844307
1907 E Overton Rd,Dallas,75216,75000,,,,1946,5881,Vacant Land,,14,48113005700,Dallas,17.68,25.65,32.7054591,-96.7982658,https://www.redfin.com/TX/Dallas/1907-E-Overton-Rd-75216/home/30844779
4714 Kildare Ave,Dallas,75216,165000,3,2.0,1240,1948,7449,Single Family Residential,,43,48113005700,Dallas,18.72,26.66,32.6906417,-96.7950569,https://www.redfin.com/TX/Dallas/4714-Kildare-Ave-75216/home/30844326
3831 Opal Ave,Dallas,75216,309000,3,2.0,1555,2019,6839,Single Family Residential,,50,48113005700,Dallas,17.92,25.9,32.7020815,-96.7968571,https://www.redfin.com/TX/Dallas/3831-Opal-Ave-75216/home/30844166
1818 Marfa Ave,Dallas,75216,399000,4,3.0,2583,2026,7166,Single Family Residential,,59,48113005700,Dallas,17.79,25.75,32.7039925,-96.7980642,https://www.redfin.com/TX/Dallas/1818-Marfa-Ave-75216/home/30840116
1802 Fordham Rd,Dallas,75216,199000,3,2.0,1060,1939,6926,Single Family Residential,,65,48113005700,Dallas,18.16,26.11,32.6985775,-96.797331,https://www.redfin.com/TX/Dallas/1802-Fordham-Rd-75216/home/30843584
2015 Volga Ave,Dallas,75216,350000,4,3.0,2211,2021,9496,Single Family Residential,,85,48113005700,Dallas,17.9,25.93,32.7026404,-96.7943928,https://www.redfin.com/TX/Dallas/2015-Volga-Ave-75216/home/30844176
4119 S Denley Dr,Dallas,75216,379999,4,2.0,2095,2025,22085,Single Family Residential,,94,48113005700,Dallas,18.21,26.14,32.6979029,-96.7976194,https://www.redfin.com/TX/Dallas/4119-S-Denley-Dr-75216/home/30843778
4715 S Denley Dr,Dallas,75216,464000,5,4.0,2860,2025,7500,Single Family Residential,,232,48113005700,Dallas,18.71,26.68,32.691004,-96.7933364,https://www.redfin.com/TX/Dallas/4715-S-Denley-Dr-75216/home/30738092
1817 Adelaide Dr,Dallas,75216,32500,,,,,29490,Vacant Land,,393,48113005700,Dallas,18.8,26.71,32.6894089,-96.7961626,https://www.redfin.com/TX/Dallas/1817-Adelaide-Dr-75216/home/30844308
